project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,248e4050c18fe4195272a4482ad9a9453a8d500a_f4dc7b3dfd5b783ed28d77b810ca39479b5d1eb8,2,4,3,1
commons-lang,a312fbf6f5f1b1e497ae16694994e9e5cd3a31a8_d1786567e42515c7cea795a6b72a59aa142e96ae,2,3,2,0
commons-lang,bda7d674a6d0711a91e9674eeae912ef5ebc210c_9744adc0f50cfeee3c68c18cf78e6be4c37d8786,2,2,2,1
commons-lang,bda7d674a6d0711a91e9674eeae912ef5ebc210c_3fa46d07871f37d6895108db353548c04581dd52,3,9,7,1
commons-lang,bda7d674a6d0711a91e9674eeae912ef5ebc210c_2f393b75ee6673e83969e003be3ebbb762fb5485,4,15,6,1
commons-lang,3fa46d07871f37d6895108db353548c04581dd52_2f393b75ee6673e83969e003be3ebbb762fb5485,2,12,6,0
commons-lang,3fa46d07871f37d6895108db353548c04581dd52_8453729edd82d88d0cd92d1845b500d368bbbf55,3,17,7,2
commons-lang,3fa46d07871f37d6895108db353548c04581dd52_2592c07076a3565a2911ee829aa94746acce4a91,4,25,11,3
commons-lang,8453729edd82d88d0cd92d1845b500d368bbbf55_2592c07076a3565a2911ee829aa94746acce4a91,2,11,11,0
commons-lang,5a6d7c07178609d32d6e794c075a0a21f24ee624_cac97555b1af54b2e8d8390c2ccc8621b36928cf,2,27,26,0
commons-lang,5a6d7c07178609d32d6e794c075a0a21f24ee624_f509243282b0fddbe569c790a60541362edcddc2,3,43,22,1
commons-lang,ca2350dfe78b865f1d2d705aa57b418cbd4d22d6_1a7d766e9df8c1a448730dfdbd42b8bf05b6c248,2,3,2,0
commons-lang,064df51dc525c5f91abcd0e3d515a9cb6a496964_eab4a42dbd7f201b496e4d37dd2d000aea2f9e55,2,2,1,0
commons-lang,064df51dc525c5f91abcd0e3d515a9cb6a496964_81a8f7949af628465dd4d87d110be4510c4d789f,3,4,2,0
commons-lang,064df51dc525c5f91abcd0e3d515a9cb6a496964_a168f2e41ccc8f8e8f1bce77d516c0dbc580a75f,4,4,1,1
commons-lang,81a8f7949af628465dd4d87d110be4510c4d789f_a168f2e41ccc8f8e8f1bce77d516c0dbc580a75f,2,1,1,1
commons-lang,81a8f7949af628465dd4d87d110be4510c4d789f_1bcb6ddafd4224a285e02aea317f9cc9e8513e7b,3,2,1,1
commons-lang,81a8f7949af628465dd4d87d110be4510c4d789f_7e39b63a30de9ce5f898aacc7027e1b593354f28,4,5,3,1
commons-lang,1bcb6ddafd4224a285e02aea317f9cc9e8513e7b_7e39b63a30de9ce5f898aacc7027e1b593354f28,2,3,3,0
commons-lang,1bcb6ddafd4224a285e02aea317f9cc9e8513e7b_8f6ab5fc92d6196416cab56f780c9efb63f0b491,3,5,2,0
commons-lang,043a7387829ebda76a20b87a072b5f4102c27358_b7f0dbf4154292ecd704350648dd7520dca5e7ed,2,12,12,1
commons-lang,043a7387829ebda76a20b87a072b5f4102c27358_de6666f981cf81022f5d85a5ec9394ff8dd95630,3,18,9,4
commons-lang,043a7387829ebda76a20b87a072b5f4102c27358_647963650ec449a18637c06da7e8bb062cbc77ba,4,20,4,4
commons-lang,de6666f981cf81022f5d85a5ec9394ff8dd95630_647963650ec449a18637c06da7e8bb062cbc77ba,2,5,4,0
commons-lang,de6666f981cf81022f5d85a5ec9394ff8dd95630_d84d18b2b8d9ce8c44b86eac40bb0cb190f57c5b,3,28,25,2
commons-lang,de6666f981cf81022f5d85a5ec9394ff8dd95630_090701fcb92eb2160be425d7bf8faf204df660a1,4,30,2,2
commons-lang,d84d18b2b8d9ce8c44b86eac40bb0cb190f57c5b_090701fcb92eb2160be425d7bf8faf204df660a1,2,3,2,0
commons-lang,d84d18b2b8d9ce8c44b86eac40bb0cb190f57c5b_98bd2a6aa1625dd4b33d8ce5ea0c28d324c1c2ad,3,22,20,1
commons-lang,d84d18b2b8d9ce8c44b86eac40bb0cb190f57c5b_d6ad6b17ec33d83e053aa3381cb2a09b4bde285b,4,23,5,5
commons-lang,98bd2a6aa1625dd4b33d8ce5ea0c28d324c1c2ad_d6ad6b17ec33d83e053aa3381cb2a09b4bde285b,2,6,5,0
commons-lang,98bd2a6aa1625dd4b33d8ce5ea0c28d324c1c2ad_f8b47149cf40395b13827df784ec337d8d294f6d,3,18,16,4
commons-lang,98bd2a6aa1625dd4b33d8ce5ea0c28d324c1c2ad_77cc89d406162519a77014f18307c9a0e0280f77,4,19,2,4
commons-lang,f8b47149cf40395b13827df784ec337d8d294f6d_77cc89d406162519a77014f18307c9a0e0280f77,2,3,2,0
commons-lang,f8b47149cf40395b13827df784ec337d8d294f6d_2ad132e15621c2ed103da68611cfeec056dd612c,3,9,6,0
commons-lang,f8b47149cf40395b13827df784ec337d8d294f6d_9067037581ef2727f8a3be001e3ff3cf43cc8d1e,4,11,3,1
commons-lang,2ad132e15621c2ed103da68611cfeec056dd612c_9067037581ef2727f8a3be001e3ff3cf43cc8d1e,2,4,3,0
